frequency_hz,t_0.000000,t_0.031250,t_0.062500,t_0.093750,t_0.125000,t_0.156250,t_0.187500,t_0.218750,t_0.250000,t_0.281250,t_0.312500,t_0.343750,t_0.375000,t_0.406250,t_0.437500,t_0.468750,t_0.500000,t_0.531250,t_0.562500,t_0.593750,t_0.625000,t_0.656250,t_0.687500,t_0.718750,t_0.750000,t_0.781250,t_0.812500,t_0.843750,t_0.875000,t_0.906250,t_0.937500,t_0.968750,t_1.000000,t_1.031250,t_1.062500,t_1.093750,t_1.125000,t_1.156250,t_1.187500,t_1.218750,t_1.250000,t_1.281250,t_1.312500,t_1.343750,t_1.375000,t_1.406250,t_1.437500,t_1.468750,t_1.500000,t_1.531250,t_1.562500,t_1.593750,t_1.625000,t_1.656250,t_1.687500,t_1.718750,t_1.750000,t_1.781250,t_1.812500,t_1.843750,t_1.875000,t_1.906250,t_1.937500,t_1.968750,t_2.000000,t_2.031250,t_2.062500,t_2.093750,t_2.125000,t_2.156250,t_2.187500,t_2.218750,t_2.250000,t_2.281250,t_2.312500,t_2.343750,t_2.375000,t_2.406250,t_2.437500,t_2.468750,t_2.500000,t_2.531250,t_2.562500,t_2.593750,t_2.625000,t_2.656250,t_2.687500,t_2.718750,t_2.750000,t_2.781250,t_2.812500,t_2.843750,t_2.875000
352.00,-40.003335,-40.951259,-33.511682,-32.064244,-25.045501,-20.013513,-11.574794,-0.510766,14.775692,32.976733,47.013526,49.779952,40.584662,23.266126,5.992926,-6.613546,-17.029057,-22.018653,-30.355360,-31.434109,-39.230899,-38.404255,-44.959252,-44.227986,-49.130491,-49.542041,-51.921892,-54.514710,-54.117021,-59.122048,-56.622676,-64.169288,-59.184874,-69.821840,-61.543014,-74.741450,-63.803354,-75.257881,-66.137414,-74.695722,-68.540085,-73.397350,-70.753316,-74.626860,-72.733902,-72.963103,-75.451166,-73.330426,-80.058391,-75.386049,-85.137581,-77.130482,-90.612379,-78.065511,-93.663686,-79.078489,-89.273530,-80.645911,-89.424820,-82.774447,-85.257726,-84.811858,-84.481375,-85.796629,-87.294336,-87.116300,-84.538438,-91.184317,-83.383328,-97.729520,-84.290968,-105.644534,-85.980794,-109.140745,-87.587752,-96.264329,-88.762479,-98.940798,-89.545459,-91.635152,-90.409386,-94.928029,-92.370082,-93.315412,-96.752019,-90.097397,-102.679425,-90.958743,-106.726542,-93.735925,-118.954029,-96.358797,-107.657347
360.00,-41.136697,-42.408921,-34.940361,-33.954802,-27.070199,-22.755471,-15.035285,-5.466733,7.970078,25.693791,42.420649,50.036642,45.753081,30.673626,12.618921,-2.010053,-13.467944,-19.581248,-28.090772,-29.819169,-37.603564,-37.189817,-43.769463,-43.240323,-48.178977,-48.688074,-51.160718,-53.757879,-53.490376,-58.464068,-56.052036,-63.554868,-58.643141,-69.193745,-61.034420,-74.118181,-63.329256,-74.798424,-65.690756,-74.309996,-68.118900,-73.072151,-70.376567,-74.247192,-72.419669,-72.697367,-75.167832,-73.080286,-79.731553,-75.087285,-84.774212,-76.798956,-90.262081,-77.755980,-93.386867,-78.794177,-89.117040,-80.366311,-89.164313,-82.480334,-85.098191,-84.521142,-84.319391,-85.574460,-87.014722,-86.947738,-84.374789,-90.995502,-83.258026,-97.444142,-84.160822,-105.310178,-85.831380,-108.855609,-87.423899,-96.187881,-88.602900,-98.723933,-89.407329,-91.553310,-90.293935,-94.748975,-92.259672,-93.172759,-96.599523,-90.015356,-102.423857,-90.866688,-106.523053,-93.594260,-118.598399,-96.149657,-107.606203
368.00,-42.223470,-43.797858,-36.290029,-35.728964,-28.935658,-25.252422,-18.090745,-9.769831,1.894365,18.323593,36.270628,48.516149,49.015099,37.632513,19.810949,3.336307,-9.457732,-16.867098,-25.646951,-28.083755,-35.881941,-35.908839,-42.519228,-42.210726,-47.191528,-47.806283,-50.373671,-52.980808,-52.843602,-57.787840,-55.467285,-62.925245,-58.092248,-68.555131,-60.519525,-73.486689,-62.850402,-74.328022,-65.240568,-73.916085,-67.694930,-72.740176,-69.996083,-73.865656,-72.099956,-72.426001,-74.878865,-72.825102,-79.401631,-74.786178,-84.410192,-76.467961,-89.908698,-77.446434,-93.104758,-78.509101,-88.956226,-80.086296,-88.903399,-82.187216,-84.935487,-84.231686,-84.154547,-85.350417,-86.737211,-86.776077,-84.208665,-90.804043,-83.130062,-97.160265,-84.028143,-104.977557,-85.679754,-108.572134,-87.258250,-96.109606,-88.441555,-98.508156,-89.267151,-91.469605,-90.176304,-94.569525,-92.147103,-93.028734,-96.445416,-89.931560,-102.171019,-90.772909,-106.318869,-93.451405,-118.245304,-95.941939,-107.553814
376.00,-43.267619,-45.124030,-37.569270,-37.400035,-30.664613,-27.543539,-20.817162,-13.529735,-3.403801,11.300642,29.172307,44.828985,50.111848,43.529444,27.242992,9.476578,-4.896500,-13.813265,-22.992508,-26.208974,-34.054547,-34.553814,-41.203158,-41.135455,-46.164962,-46.894410,-49.559057,-52.182014,-52.175747,-57.092508,-54.867760,-62.279818,-57.531612,-67.905394,-59.997816,-72.846478,-62.366363,-73.846400,-64.786479,-73.513790,-67.267860,-72.401307,-69.611700,-73.481983,-71.774723,-72.148963,-74.584244,-72.564850,-79.068554,-74.482657,-84.045303,-76.137268,-89.552220,-77.136711,-92.817354,-78.223177,-88.791025,-79.805779,-88.642000,-81.894925,-84.769621,-83.943323,-83.986855,-85.124512,-86.461599,-86.601348,-84.040101,-90.609966,-82.999425,-96.877765,-83.892948,-104.646596,-85.525960,-108.289996,-87.090851,-96.029496,-88.278490,-98.293456,-89.124966,-91.384062,-90.056515,-94.389705,-92.032396,-92.883368,-96.289691,-89.845996,-101.920968,-90.677348,-106.114011,-93.307418,-117.894931,-95.735543,-107.500360
384.00,-44.272619,-46.392638,-38.785352,-38.979141,-32.275410,-29.659658,-23.273457,-16.847187,-7.989248,4.915652,21.713620,39.314774,49.505629,47.732209,34.453928,16.334803,0.322940,-10.338521,-20.087276,-24.171255,-32.107636,-33.115842,-39.815060,-40.010236,-45.095743,-45.949953,-48.714995,-51.359889,-51.485757,-56.377135,-54.252738,-61.617933,-56.960621,-67.243905,-59.468769,-72.197036,-61.876710,-73.353265,-64.328117,-73.102897,-66.837374,-72.055412,-69.223248,-73.095903,-71.443921,-71.866205,-74.283946,-72.299501,-78.732247,-74.176649,-83.679354,-75.806654,-89.192625,-76.826663,-92.524628,-77.936321,-88.621366,-79.524674,-88.380032,-81.603303,-84.600593,-83.655879,-83.816330,-84.896760,-86.187700,-86.423576,-83.869121,-90.413309,-82.866132,-96.596429,-83.755248,-104.317040,-85.370012,-108.009085,-86.921721,-95.947526,-88.113737,-98.079729,-88.980794,-91.296669,-89.934581,-94.209518,-91.915564,-92.736695,-96.132433,-89.758680,-101.673349,-90.580072,-105.908469,-93.162312,-117.547028,-95.530448,-107.445615
392.00,-45.241524,-47.608247,-39.944476,-40.475684,-33.783032,-31.625370,-25.505254,-19.804710,-11.971664,-0.708504,14.400336,32.601353,46.820069,49.834793,40.895182,23.663061,6.277458,-6.341321,-16.879364,-21.940835,-30.024561,-31.584291,-38.347766,-38.830155,-43.979917,-44.970133,-47.839391,-50.512683,-50.772463,-55.640689,-53.621435,-60.938876,-56.378633,-66.570007,-58.931846,-71.537841,-61.381004,-72.848307,-63.865110,-72.683171,-66.403161,-71.702347,-68.830551,-72.707149,-71.107492,-71.577674,-73.977938,-72.029019,-78.392627,-73.868075,-83.312137,-75.475906,-88.829893,-76.516136,-92.226589,-77.648451,-88.447193,-79.242897,-88.117405,-81.312192,-84.428401,-83.369204,-83.642982,-84.667173,-85.915321,-86.242771,-83.695740,-90.214096,-82.730178,-96.316176,-83.615051,-103.988786,-85.211942,-107.729149,-86.750897,-95.863694,-87.947323,-97.866943,-88.834673,-91.207431,-89.810526,-94.029000,-91.796612,-92.588762,-95.973656,-89.669604,-101.428067,-90.481058,-105.702249,-93.016135,-117.201365,-95.326569,-107.389811
400.00,-46.177037,-48.774890,-41.051972,-41.897676,-35.199848,-33.460546,-27.548162,-22.467052,-15.461339,-5.588490,7.608039,25.298897,42.130800,50.006894,45.972187,31.050985,12.952054,-1.705314,-13.301616,-19.479689,-27.784897,-29.946340,-36.792921,-37.589529,-42.813043,-43.951839,-46.929912,-49.638483,-50.034574,-54.882037,-52.972995,-60.241869,-55.784970,-65.883015,-58.386495,-70.868355,-60.878801,-72.331197,-63.397082,-72.254363,-65.964906,-71.341956,-68.433424,-72.315457,-70.765372,-71.283308,-73.666184,-71.753364,-78.049607,-73.556850,-82.943466,-75.144818,-88.463989,-76.204985,-91.923220,-77.359476,-88.268424,-78.960359,-87.854037,-81.021446,-84.253047,-83.083145,-83.466819,-84.435751,-85.644296,-86.058958,-83.519986,-90.012362,-82.591565,-96.036841,-83.472372,-103.661785,-85.051777,-107.450068,-86.578414,-95.777986,-87.779282,-97.655029,-88.686627,-91.116338,-89.684358,-93.848137,-91.675567,-92.439587,-95.813389,-89.578791,-101.184942,-90.380334,-105.495429,-92.868930,-116.858597,-95.123894,-107.332787
408.00,-47.081561,-49.896147,-42.112454,-43.252009,-36.536174,-35.181448,-29.430314,-24.884480,-18.551683,-9.816453,1.542478,17.942037,35.921881,48.375278,49.124067,37.966784,20.179434,3.676596,-9.268550,-16.738738,-25.363233,-28.186377,-35.140702,-36.281744,-41.590099,-42.891577,-45.983946,-48.735188,-49.270652,-54.099934,-52.306486,-59.526069,-55.178916,-65.182210,-57.832143,-70.188020,-60.369647,-71.801591,-62.923654,-71.816205,-65.522296,-70.974069,-68.031679,-71.920558,-70.417486,-70.983043,-73.348639,-71.472491,-77.703094,-73.242888,-82.573150,-74.813188,-88.094872,-75.893063,-91.614500,-77.069311,-88.084996,-78.676969,-87.589834,-80.730918,-84.074527,-82.797552,-83.287847,-84.202501,-85.374457,-85.872151,-83.341868,-89.808131,-82.450298,-95.758278,-83.327215,-103.335755,-84.889537,-107.171580,-86.404283,-95.690379,-87.609638,-97.443917,-88.536675,-91.023391,-89.556097,-93.666942,-91.552438,-92.289197,-95.651669,-89.486215,-100.943820,-90.277911,-105.287997,-92.720711,-116.517919,-94.922319,-107.274539
416.00,-47.957240,-50.975213,-43.129937,-44.544649,-37.800690,-36.801545,-31.174213,-27.096186,-21.316688,-13.503689,-3.755208,10.960028,28.796752,44.585050,50.120207,43.794469,27.624100,9.849906,-4.677264,-13.654324,-22.727511,-26.285180,-33.379454,-34.899049,-40.305374,-41.785397,-44.998562,-47.800481,-48.479102,-53.293010,-51.620889,-58.790553,-54.559709,-64.466833,-57.268196,-69.496257,-59.853075,-71.259121,-62.444443,-71.368409,-65.075011,-70.598501,-67.625118,-71.522185,-70.063750,-70.676802,-73.025254,-71.186350,-77.352990,-72.926094,-82.201005,-74.480824,-87.722504,-75.580228,-91.300409,-76.777864,-87.896834,-78.392644,-87.324710,-80.440469,-83.892830,-82.512289,-83.106071,-83.967411,-85.105650,-85.682367,-83.161405,-89.601415,-82.306374,-95.480389,-83.179599,-103.010720,-84.725239,-106.893578,-86.228535,-95.600873,-87.438418,-97.233550,-88.384851,-90.928588,-89.425754,-93.485432,-91.427226,-92.137644,-95.488528,-89.391904,-100.704600,-90.173801,-105.079963,-92.571504,-116.179419,-94.721822,-107.215109
424.00,-48.805998,-52.014954,-44.107940,-45.780804,-39.000766,-38.332106,-32.798095,-29.133050,-23.813733,-16.751451,-8.352150,4.634899,21.334899,38.990229,49.422328,47.898101,34.816618,16.730221,0.579456,-10.144479,-19.836753,-24.218810,-31.495204,-33.432289,-38.952326,-40.628811,-43.970457,-46.831797,-47.658145,-52.459756,-50.915090,-58.034320,-53.926539,-63.736085,-56.694033,-68.792464,-59.328605,-70.703401,-61.959055,-70.910668,-64.622731,-70.215054,-67.213536,-71.120067,-69.704074,-70.364506,-72.695971,-70.894882,-76.999191,-72.606371,-81.826845,-74.147537,-87.346833,-75.266339,-90.980935,-76.485045,-87.703853,-78.107290,-87.058568,-80.149966,-83.707957,-82.227221,-82.921490,-83.730487,-84.837718,-85.489618,-82.978609,-89.392251,-82.159795,-95.203022,-83.029517,-102.686466,-84.558900,-106.615854,-86.051188,-95.509455,-87.265634,-97.023886,-88.231169,-90.831921,-89.293342,-93.303586,-91.299965,-91.984906,-95.324001,-89.295842,-100.467140,-90.067998,-104.871408,-92.421359,-115.843695,-94.522342,-107.154458
432.00,-49.629563,-53.017945,-45.049561,-46.965040,-40.142704,-39.782658,-34.316910,-31.019711,-26.087297,-19.642364,-12.357157,-0.920034,14.033604,32.224662,46.621444,49.884403,41.202184,24.061531,6.576038,-6.107183,-16.638051,-21.957086,-29.471004,-31.870558,-37.523413,-39.416686,-42.895898,-45.826281,-46.805795,-51.598506,-50.187868,-57.256275,-53.278539,-62.989118,-56.109006,-68.076010,-58.795737,-70.134021,-61.467090,-70.442656,-64.165129,-69.823516,-66.796721,-70.713931,-69.338356,-70.046065,-72.360727,-70.598026,-76.641589,-72.283619,-81.450493,-73.813142,-86.967800,-74.951257,-90.656047,-76.190764,-87.505980,-77.820819,-86.791316,-79.859270,-83.519887,-81.942211,-82.734111,-83.491707,-84.570517,-85.293917,-82.793486,-89.180638,-82.010563,-94.926116,-82.876992,-102.362992,-84.390551,-106.338307,-85.872253,-95.416076,-87.091317,-96.814833,-88.075652,-90.733394,-89.158881,-93.121416,-91.170654,-91.831046,-95.158091,-89.198049,-100.231236,-89.960553,-104.662174,-92.270255,-115.509500,-94.323811,-107.092656
440.00,-50.429498,-53.986517,-45.957541,-48.101392,-41.231933,-41.161319,-35.743047,-32.776087,-28.172167,-22.241157,-15.878306,-5.728834,7.259056,24.901827,41.836403,49.972536,46.186372,31.428749,13.291295,-1.426631,-13.062988,-19.461507,-27.286039,-30.200745,-36.009864,-38.143115,-41.770641,-44.780741,-45.919828,-50.707415,-49.437882,-56.455225,-52.614782,-62.225031,-55.512430,-67.346234,-58.253956,-69.550549,-60.968134,-69.964023,-63.701870,-69.423655,-66.374450,-70.303500,-68.966487,-69.721385,-72.019451,-70.295712,-76.280070,-71.957731,-81.071768,-73.477457,-86.585346,-74.634844,-90.325715,-75.894926,-87.303133,-77.533144,-86.522857,-79.568260,-83.328621,-81.657136,-82.543925,-83.251073,-84.303917,-85.095276,-82.606049,-88.966600,-81.858674,-94.649478,-82.722015,-102.040081,-84.220187,-106.060770,-85.691754,-95.320783,-86.915476,-96.606341,-87.918317,-90.632995,-89.022378,-92.938911,-91.039309,-91.676057,-94.990833,-89.098511,-99.996889,-89.851418,-104.452450,-92.118251,-115.177961,-94.126191,-107.029523
448.00,-51.207221,-54.922783,-46.834317,-49.193437,-42.273162,-42.475067,-37.086881,-34.418476,-30.095891,-24.598042,-19.006660,-9.887811,1.207703,17.555948,35.569799,48.228154,49.226668,38.298628,20.548728,4.001391,-9.024609,-16.682459,-24.914398,-28.406925,-34.401398,-36.801255,-40.589840,-43.691594,-44.997745,-49.784441,-48.663656,-55.629867,-51.934269,-61.442866,-54.903584,-66.602440,-57.702723,-68.952527,-60.461764,-69.474399,-63.232613,-69.015228,-65.946495,-69.888492,-68.588346,-69.390360,-71.672063,-69.987867,-75.914514,-71.628596,-80.690492,-73.140306,-86.199406,-74.316965,-89.989922,-75.597440,-87.095220,-77.244170,-86.253095,-79.276807,-83.134132,-81.371875,-82.350928,-83.008552,-84.037771,-84.893698,-82.416300,-88.750150,-81.704126,-94.373069,-82.564601,-101.717703,-84.047835,-105.783075,-85.509697,-95.223485,-86.738125,-96.398372,-87.759191,-90.530731,-88.883846,-92.756060,-90.905934,-91.519976,-94.822231,-88.997243,-99.763950,-89.740657,-104.242205,-91.965363,-114.848139,-93.929420,-106.965228
456.00,-51.964018,-55.828663,-47.682066,-50.244365,-43.270498,-43.729940,-38.357172,-35.960369,-31.880571,-26.752142,-21.814202,-13.510031,-4.085739,10.611500,28.420693,44.336029,50.124484,44.054330,28.003029,10.216001,-4.418660,-13.555722,-22.323377,-26.469545,-32.685839,-35.383117,-39.347934,-42.554792,-44.036732,-48.827314,-47.863557,-54.778772,-51.235923,-60.641598,-54.281706,-65.843894,-57.141472,-68.339472,-59.947539,-68.973388,-62.757009,-68.597971,-65.512616,-69.468619,-68.203803,-69.052878,-71.318477,-69.674407,-75.544796,-71.296103,-80.306487,-72.801514,-85.809904,-73.997480,-89.648612,-75.298209,-86.882161,-76.953810,-85.981933,-78.984792,-82.936414,-81.086301,-82.155116,-82.764143,-83.771962,-84.689196,-82.224243,-88.531291,-81.546917,-94.096761,-82.404754,-101.395734,-83.873496,-105.505122,-85.326090,-95.124223,-86.559277,-96.190836,-87.598270,-90.426584,-88.743304,-92.572872,-90.770551,-91.362791,-94.652341,-88.894236,-99.532224,-89.628245,-104.031335,-91.811570,-114.520586,-93.733481,-106.899619
464.00,-52.701065,-56.705912,-48.502739,-51.257034,-44.227543,-44.931195,-39.561382,-37.413049,-33.544172,-28.734248,-24.356721,-16.697307,-8.690630,4.341957,20.960062,38.663318,49.332917,48.058075,35.175944,17.123796,0.862377,-9.998838,-19.471154,-24.364309,-30.848625,-33.879300,-38.038501,-41.365743,-43.033602,-47.833504,-47.035779,-53.900377,-50.518577,-59.820128,-53.645983,-65.069819,-56.569613,-67.710871,-59.425004,-68.460572,-62.274696,-68.171602,-65.072564,-69.043589,-67.812720,-68.708818,-70.958599,-69.355245,-75.170787,-70.960131,-79.919578,-72.460906,-85.416764,-73.676259,-89.301774,-74.997137,-86.663864,-76.661970,-85.709268,-78.692092,-82.735443,-80.800302,-81.956478,-82.517812,-83.506358,-84.481777,-82.029878,-88.310040,-81.387042,-93.820438,-82.242469,-101.074127,-83.697191,-105.226734,-85.140946,-95.022950,-86.378948,-95.983694,-87.435586,-90.320562,-88.600741,-92.389320,-90.633167,-91.204542,-94.481133,-88.789495,-99.301754,-89.514205,-103.819921,-91.656938,-114.194969,-93.538261,-106.832829
472.00,-53.419434,-57.556136,-49.298093,-52.234012,-45.147474,-46.083439,-40.705916,-38.786041,-35.101471,-30.568899,-26.677487,-19.532331,-12.714955,-1.148956,13.676190,31.847157,46.417747,49.928944,41.505404,24.460521,6.890566,-5.909703,-16.303723,-22.060660,-28.872129,-32.278646,-36.654079,-40.119201,-41.984740,-46.800181,-46.178315,-52.992962,-49.780965,-58.977279,-52.995549,-64.279390,-55.986521,-67.066179,-58.893682,-67.935504,-61.785301,-67.735821,-64.626077,-68.613097,-67.414945,-68.358049,-70.592325,-69.030286,-74.792349,-70.620557,-79.529585,-72.118313,-85.019901,-73.353163,-88.949359,-74.694129,-86.440230,-76.368559,-85.435001,-78.398591,-82.531202,-80.513762,-81.755007,-82.269544,-83.240840,-84.271439,-81.833208,-88.086388,-81.224503,-93.544030,-82.077757,-100.752743,-83.518913,-104.947870,-84.954267,-94.919652,-86.197133,-95.776868,-87.271146,-90.212647,-88.456201,-92.205389,-90.493785,-91.045227,-94.308657,-88.683026,-99.072306,-89.398539,-103.608044,-91.501439,-113.870933,-93.343768,-106.764611
480.00,-54.120112,-58.380807,-50.069714,-53.177619,-46.033106,-47.190728,-41.796305,-40.087455,-36.564759,-32.275893,-28.810374,-22.079728,-16.264711,-5.892673,6.925389,24.503355,41.537681,49.933428,46.395608,31.806608,13.638427,-1.173596,-12.751274,-19.519694,-26.734746,-30.567784,-35.185930,-38.809144,-40.886018,-45.724173,-45.288927,-52.054633,-49.021706,-58.111779,-52.329476,-63.471731,-55.391538,-66.404816,-58.353078,-67.397710,-61.288439,-67.290306,-64.172884,-68.176835,-67.010317,-68.000430,-70.219545,-68.699426,-74.409341,-70.277254,-79.136330,-71.773564,-84.619231,-73.028060,-88.591317,-74.389083,-86.211170,-76.073486,-85.159029,-78.104174,-82.323662,-80.226571,-81.550682,-82.019310,-82.975295,-84.058187,-81.634225,-87.860351,-81.059286,-93.267427,-81.910613,-100.431515,-83.338682,-104.668316,-84.766059,-94.814307,-86.013851,-95.570325,-87.104963,-90.102848,-88.309660,-92.021075,-90.352423,-90.884854,-94.134905,-88.574821,-98.843857,-89.281268,-103.395510,-91.345099,-113.549047,-93.149916,-106.695214
488.00,-54.804004,-59.181282,-50.819039,-54.089953,-46.886946,-48.256653,-42.837361,-41.324251,-37.944358,-33.871399,-30.782255,-24.389545,-19.428745,-9.989533,0.894579,17.165830,35.214276,48.074873,49.322961,38.628121,20.920088,4.310165,-8.725217,-16.691389,-24.409634,-28.730527,-33.623746,-37.428604,-39.732705,-44.601907,-44.365110,-51.083303,-48.239289,-57.222255,-51.646768,-62.645905,-54.783965,-65.726168,-57.802671,-66.846686,-60.783707,-66.834714,-63.712700,-67.734483,-66.598663,-67.635812,-69.840135,-68.362555,-74.021615,-69.930089,-78.739634,-71.426489,-84.214651,-72.700814,-88.227617,-74.081904,-85.976583,-75.776656,-84.881245,-77.808728,-82.112806,-79.938616,-81.343494,-81.767084,-82.709603,-83.842025,-81.432929,-87.631923,-80.891393,-92.990545,-81.741042,-100.110366,-83.156491,-104.388017,-84.576323,-94.706909,-85.829100,-95.363988,-86.937041,-89.991150,-88.161153,-91.836373,-90.209090,-90.723432,-93.959888,-88.464891,-98.616373,-89.162363,-103.182430,-91.187944,-113.228760,-92.956681,-106.624424
496.00,-55.471945,-59.958811,-51.547376,-54.972925,-47.711233,-49.284406,-43.833292,-42.502440,-39.249018,-35.368771,-32.614733,-26.500712,-22.277107,-13.554175,-4.388035,10.254544,28.043565,44.081878,50.124702,44.309033,28.380325,10.573703,-4.119788,-13.511138,-21.862976,-26.747054,-31.955252,-35.969466,-38.519345,-43.429340,-43.404048,-50.076657,-47.432055,-56.307220,-50.946351,-61.800910,-54.163058,-65.029578,-57.241914,-66.281895,-60.270688,-66.368679,-63.245227,-67.285708,-66.179796,-67.264033,-69.453966,-68.019556,-73.629016,-69.578926,-78.339314,-71.076918,-83.806069,-72.371289,-87.858198,-73.772488,-85.736360,-75.477977,-84.601542,-77.512139,-81.898601,-79.649791,-81.133423,-81.512830,-82.443657,-83.622947,-81.229308,-87.401106,-80.720811,-92.713277,-81.569036,-99.789223,-82.972352,-104.106810,-84.385055,-94.597400,-85.642882,-95.157815,-86.767400,-89.877549,-88.010669,-91.651234,-90.063786,-90.560980,-93.783642,-88.353232,-98.389614,-89.041889,-102.968891,-91.029936,-112.910040,-92.764003,-106.552360
504.00,-56.124705,-60.714549,-52.255917,-55.828272,-48.507976,-50.276838,-44.787797,-43.627249,-40.486214,-36.779149,-34.325415,-28.443813,-24.864011,-16.688740,-8.994218,4.034547,20.588433,38.334076,49.237292,48.212010,35.531846,17.514223,1.172902,-9.896250,-19.051600,-24.592803,-30.165692,-34.422204,-37.239612,-42.201881,-42.402564,-49.032128,-46.598174,-55.365057,-50.227062,-60.935672,-53.528024,-64.314345,-56.670229,-65.702769,-59.748944,-65.891809,-62.770152,-66.830170,-65.753519,-66.884921,-69.060896,-67.670302,-73.231383,-69.223621,-77.935187,-70.724684,-83.393375,-72.039352,-87.483015,-73.460733,-85.490407,-75.177352,-84.319814,-77.214299,-81.681016,-79.359993,-80.920447,-81.256522,-82.177350,-83.400949,-81.023356,-87.167894,-80.547536,-92.435565,-81.394600,-99.467982,-82.786258,-103.824675,-84.192263,-94.485795,-85.455201,-94.951730,-86.596032,-89.762041,-87.858228,-91.465674,-89.916531,-90.397469,-93.606135,-88.239843,-98.163653,-88.919805,-102.754688,-90.871125,-112.593289,-92.571832,-106.478911
512.00,-56.762999,-61.449567,-52.945752,-56.657586,-49.278987,-51.236502,-45.704145,-44.703252,-41.662380,-38.111913,-35.928823,-30.243172,-27.231472,-19.475771,-13.031479,-1.399870,13.328081,31.469312,46.209047,49.968571,41.804574,24.859068,7.222440,-5.744864,-15.919860,-22.236953,-28.237129,-32.775534,-35.886121,-40.914286,-41.357053,-47.946854,-45.735624,-54.394003,-49.487639,-60.049035,-52.878014,-63.579720,-56.087007,-65.108701,-59.218017,-65.403687,-62.287146,-66.367510,-65.319620,-66.498291,-68.660775,-67.314658,-72.828547,-68.864027,-77.527066,-70.369613,-82.976457,-71.704862,-87.102011,-73.146535,-85.238608,-74.874688,-84.035953,-76.915097,-81.460020,-79.069114,-80.704548,-80.998121,-81.910574,-83.176031,-80.815060,-86.932274,-80.371559,-92.157303,-81.217725,-99.146589,-82.598214,-103.541421,-83.997934,-94.372044,-85.266059,-94.745701,-86.422954,-89.644612,-87.703829,-91.279660,-89.767318,-90.232949,-93.427397,-88.124720,-97.938316,-88.796130,-102.539989,-90.711517,-112.277719,-92.380148,-106.404079
520.00,-57.387490,-62.164860,-53.617880,-57.462323,-50.025900,-52.165697,-46.585239,-45.734468,-42.783094,-39.375033,-37.437075,-31.918371,-29.412367,-21.979584,-16.604176,-6.087200,6.608853,24.104367,41.234884,49.889421,46.599843,32.184174,13.994792,-0.943738,-12.395968,-19.640348,-26.147497,-31.015967,-34.450188,-39.560529,-40.263408,-46.817636,-44.842154,-53.392129,-48.726708,-59.139752,-52.212117,-62.824897,-55.491600,-64.499045,-58.677426,-64.903867,-61.795864,-65.897359,-64.877872,-66.103946,-68.253440,-66.952479,-72.420332,-68.499990,-77.114760,-70.011537,-82.555200,-71.367684,-86.715124,-72.829790,-84.980854,-74.569886,-83.749840,-76.614424,-81.235577,-78.777050,-80.485695,-80.737593,-81.643228,-82.948183,-80.604412,-86.694255,-80.192868,-91.878416,-81.038413,-98.824973,-82.408215,-103.256972,-83.802068,-94.256149,-85.075442,-94.539646,-86.248178,-89.525270,-87.547481,-91.093164,-89.616165,-90.067378,-93.247443,-88.007871,-97.713574,-88.670870,-102.324654,-90.551070,-111.963878,-92.188866,-106.327875
528.00,-57.998792,-62.861350,-54.273220,-58.243822,-50.750201,-53.066495,-47.433666,-46.724450,-43.853217,-40.575327,-38.860380,-33.485361,-31.432770,-24.249891,-19.799375,-10.131399,0.608221,16.772526,34.855306,47.915542,49.413036,38.955290,21.294516,4.603867,-8.389095,-16.752731,-23.869307,-29.127202,-32.921519,-38.133647,-39.116920,-45.640882,-43.915254,-52.357318,-47.942765,-58.206474,-51.529351,-62.049014,-54.883319,-63.873113,-58.126663,-64.391872,-61.295940,-65.419329,-64.428035,-65.701676,-67.838715,-66.583612,-72.006555,-68.131351,-76.698076,-69.650281,-82.129480,-71.027677,-86.322293,-72.510387,-84.717030,-74.262849,-83.461365,-76.312172,-81.007652,-78.483705,-80.263869,-80.474898,-81.375205,-82.717399,-80.391388,-86.453810,-80.011457,-91.598819,-80.856650,-98.503023,-82.216256,-102.971274,-83.604656,-94.138044,-84.883360,-94.333542,-86.071687,-89.403988,-87.389195,-90.906188,-89.463080,-89.900779,-93.066246,-87.889296,-97.489336,-88.544036,-102.108768,-90.389832,-111.651425,-91.997990,-106.250185
536.00,-58.597479,-63.539899,-54.912619,-59.003318,-51.453238,-53.940775,-48.251743,-47.676350,-44.877011,-41.718676,-40.207426,-34.957284,-33.313652,-26.325288,-22.685573,-13.648265,-4.651997,9.889271,27.664815,43.822569,50.120859,44.558603,28.756462,10.922772,-3.791392,-13.509319,-21.367848,-27.089324,-31.287805,-36.625535,-37.912160,-44.412540,-42.952109,-51.287238,-47.134158,-57.247739,-50.828654,-61.251142,-54.261431,-63.230171,-57.565193,-63.867193,-60.786991,-64.933015,-63.969851,-65.291256,-67.416415,-66.207892,-71.587024,-67.757945,-76.276816,-69.285670,-81.699165,-70.684700,-85.923443,-72.188219,-84.447018,-73.953478,-83.170409,-76.008236,-80.776197,-78.188974,-80.039031,-80.209995,-81.106413,-82.483667,-80.175979,-86.210938,-79.827308,-91.318441,-80.672436,-98.180718,-82.022341,-102.684179,-83.405691,-94.017733,-84.689799,-94.127300,-85.893499,-89.280771,-87.228962,-90.718687,-89.308057,-89.733150,-92.883840,-87.768987,-97.265535,-88.415627,-101.892285,-90.227779,-111.340348,-91.807433,-106.171137
