frequency_hz,t_0.000000,t_0.031250,t_0.062500,t_0.093750,t_0.125000,t_0.156250,t_0.187500,t_0.218750,t_0.250000,t_0.281250,t_0.312500,t_0.343750,t_0.375000,t_0.406250,t_0.437500,t_0.468750,t_0.500000,t_0.531250,t_0.562500,t_0.593750,t_0.625000,t_0.656250,t_0.687500,t_0.718750,t_0.750000,t_0.781250,t_0.812500,t_0.843750,t_0.875000,t_0.906250,t_0.937500,t_0.968750,t_1.000000,t_1.031250,t_1.062500,t_1.093750,t_1.125000,t_1.156250,t_1.187500,t_1.218750,t_1.250000,t_1.281250,t_1.312500,t_1.343750,t_1.375000,t_1.406250,t_1.437500,t_1.468750,t_1.500000,t_1.531250,t_1.562500,t_1.593750,t_1.625000,t_1.656250,t_1.687500,t_1.718750,t_1.750000,t_1.781250,t_1.812500,t_1.843750,t_1.875000,t_1.906250,t_1.937500,t_1.968750,t_2.000000,t_2.031250,t_2.062500,t_2.093750,t_2.125000,t_2.156250,t_2.187500,t_2.218750,t_2.250000,t_2.281250,t_2.312500,t_2.343750,t_2.375000,t_2.406250,t_2.437500,t_2.468750,t_2.500000,t_2.531250,t_2.562500,t_2.593750,t_2.625000,t_2.656250,t_2.687500,t_2.718750,t_2.750000,t_2.781250,t_2.812500,t_2.843750,t_2.875000
80.00,10.264757,-4.356144,-13.374455,-22.494787,-26.271973,-32.303820,-35.939724,-38.657093,-43.893048,-45.759716,-48.262524,-48.599851,-53.590159,-49.796709,-62.359532,-51.848328,-66.616374,-54.341557,-65.924530,-56.965811,-71.269834,-59.925255,-65.696017,-64.072387,-73.694066,-71.147688,-67.855150,-75.312205,-66.529050,-73.220843,-69.664611,-77.730435,-75.306728,-88.934490,-80.108457,-95.989896,-81.653143,-85.241414,-83.696775,-83.343499,-84.646160,-80.574417,-81.655851,-89.003819,-79.913039,-78.643554,-81.585502,-78.742700,-89.037580,-83.863004,-99.494731,-92.450693,-99.970487,-89.731861,-99.738921,-88.231530,-92.341347,-89.917328,-97.946472,-95.192521,-88.685180,-97.541888,-88.067339,-91.609736,-101.762838,-90.789913,-88.294775,-95.583791,-86.010000,-110.300012,-87.085289,-121.044111,-89.412452,-123.511306,-91.592889,-97.821696,-92.650525,-106.825119,-92.706779,-93.325388,-92.900826,-100.096881,-94.729976,-96.851329,-100.470288,-91.810340,-116.683214,-92.936483,-112.444945,-97.314916,-131.663293,-104.129282,-108.719654
88.00,17.163584,0.905481,-9.885354,-19.568359,-24.227943,-30.559869,-34.321689,-37.466173,-42.455537,-44.440873,-47.392861,-47.694630,-52.900841,-49.262016,-61.297236,-51.455671,-65.768578,-54.018954,-65.527423,-56.688688,-70.546618,-59.670590,-65.466930,-63.783414,-72.830807,-70.571086,-67.630547,-74.683569,-66.383921,-73.032163,-69.466682,-77.543365,-74.857893,-88.325585,-79.244342,-95.070236,-80.820372,-85.109388,-82.835815,-83.226508,-83.962048,-80.481588,-81.429298,-88.459675,-79.817463,-78.574784,-81.510511,-78.676322,-88.876420,-83.704599,-98.929705,-91.637165,-99.814937,-89.361554,-99.662757,-88.023908,-92.307839,-89.697632,-97.752612,-94.714143,-88.643919,-97.017876,-88.022643,-91.518929,-100.932728,-90.745195,-88.245967,-95.525586,-85.979398,-109.787151,-87.051843,-120.279006,-89.367979,-122.706043,-91.536826,-97.804050,-92.596400,-106.628258,-92.666112,-93.306004,-92.870908,-100.007234,-94.701961,-96.801317,-100.418663,-91.790488,-115.860278,-92.912865,-112.348257,-97.263263,-131.369961,-103.932113,-108.707366
96.00,24.498173,6.926302,-5.837793,-16.350953,-21.968345,-28.654448,-32.627249,-36.179511,-41.005543,-43.130334,-46.461059,-46.761172,-52.157148,-48.685379,-60.247099,-51.027998,-64.906611,-53.667084,-65.095379,-56.386460,-69.822452,-59.393537,-65.216857,-63.472951,-72.011152,-69.991222,-67.387971,-74.060671,-66.225322,-72.827287,-69.253346,-77.340472,-74.401262,-87.722255,-78.440594,-94.213500,-80.042574,-84.965863,-82.037774,-83.099344,-83.305571,-80.380431,-81.189448,-87.923652,-79.713390,-78.499620,-81.428562,-78.603801,-88.703690,-83.535156,-98.375820,-90.882667,-99.647350,-88.984531,-99.579629,-87.804774,-92.271107,-89.466535,-97.547835,-94.239356,-88.598799,-96.503100,-87.973823,-91.420660,-100.168982,-90.696317,-88.192718,-95.462125,-85.945888,-109.282239,-87.015262,-119.559614,-89.319465,-121.961327,-91.475830,-97.784699,-92.537505,-106.421307,-92.621707,-93.284788,-92.838194,-99.910606,-94.671304,-96.746937,-100.362468,-91.768754,-115.103470,-92.887015,-112.244404,-97.207048,-131.060835,-103.724902,-108.693891
104.00,31.842926,13.673238,-1.124367,-12.765708,-19.458222,-26.570900,-30.839968,-34.792307,-39.528515,-41.814132,-45.467649,-45.799356,-51.360082,-48.067744,-59.203364,-50.565634,-64.031412,-53.286187,-64.628931,-56.059369,-69.098234,-59.094470,-64.945949,-63.142062,-71.228232,-69.410397,-67.128098,-73.444913,-66.053333,-72.606600,-69.025301,-77.122188,-73.939662,-87.126125,-77.687302,-93.408211,-79.311498,-84.811078,-81.292303,-82.962227,-82.675279,-80.271073,-80.937730,-87.397663,-79.600963,-78.418101,-81.339700,-78.525181,-88.520162,-83.355492,-97.834579,-90.178560,-99.468318,-88.603590,-99.489598,-87.575561,-92.231131,-89.225613,-97.333437,-93.770680,-88.549847,-95.999584,-87.920915,-91.315189,-99.461225,-90.643292,-88.135101,-95.393518,-85.909490,-108.787387,-86.975560,-118.880900,-89.266964,-121.268979,-91.410004,-97.763696,-92.473911,-106.205738,-92.573640,-93.261726,-92.802677,-99.807359,-94.638021,-96.688246,-100.301823,-91.745143,-114.402866,-92.858937,-112.133115,-97.146490,-130.736057,-103.509313,-108.679236
112.00,38.660767,20.956271,4.349524,-8.718699,-16.650490,-24.286256,-28.940813,-33.297386,-38.010740,-40.479826,-44.412188,-44.807909,-50.510192,-47.409738,-58.160652,-50.068815,-63.143008,-52.876463,-64.128568,-55.707636,-68.373999,-58.773739,-64.654339,-62.791734,-70.476170,-68.830027,-66.851575,-72.836834,-65.868033,-72.370487,-68.783217,-76.888945,-73.475214,-86.537949,-76.976557,-92.645424,-78.620367,-84.645274,-80.591212,-82.815387,-82.069339,-80.153638,-80.675466,-86.882748,-79.480337,-78.330268,-81.243976,-78.440511,-88.326583,-83.166399,-97.306724,-89.517798,-99.278435,-88.220963,-99.392751,-87.337594,-92.187902,-88.976328,-97.110725,-93.309838,-88.497071,-95.508393,-87.863946,-91.202813,-98.801169,-90.586152,-88.073160,-95.319810,-85.870207,-108.303895,-86.932744,-118.237874,-89.210501,-120.620940,-91.339465,-97.740977,-92.405763,-105.982905,-92.521944,-93.236816,-92.764390,-99.697858,-94.602117,-96.625371,-100.236765,-91.719651,-113.750144,-92.828686,-112.014962,-97.081630,-130.395977,-103.286569,-108.663444
120.00,44.334492,28.417285,10.610781,-4.100131,-13.482765,-21.769709,-26.907426,-31.684958,-36.438716,-39.115830,-43.293268,-43.784647,-49.607548,-46.711645,-57.113969,-49.537672,-62.240807,-52.438061,-63.594721,-55.331454,-67.649204,-58.431675,-64.342141,-62.422863,-69.749936,-68.250872,-66.559014,-72.236393,-65.669500,-72.119331,-68.527741,-76.641168,-73.009471,-85.957884,-76.301958,-91.918046,-77.963561,-84.468691,-79.927904,-82.659048,-81.485782,-80.028260,-80.403871,-86.379325,-79.351665,-78.236165,-81.141440,-78.349839,-88.123686,-82.968635,-96.792340,-88.894594,-99.078280,-87.838378,-99.289158,-87.092097,-92.141413,-88.719988,-96.880792,-92.857829,-88.440502,-95.030049,-87.802968,-91.083814,-98.182215,-90.524904,-88.006964,-95.241108,-85.828041,-107.832415,-86.886836,-117.626567,-89.150154,-120.012223,-91.264302,-97.716590,-92.333122,-105.754037,-92.466660,-93.210083,-92.723322,-99.582488,-94.563601,-96.558397,-100.167434,-91.692284,-113.138583,-92.796213,-111.890307,-97.012630,-130.044591,-103.058121,-108.646573
128.00,48.227031,35.567085,17.552193,1.200833,-9.874081,-18.980415,-24.713029,-29.942232,-34.798571,-37.710880,-42.108501,-42.726623,-48.651720,-45.973387,-56.058659,-48.972210,-61.323786,-51.971071,-63.027752,-54.930980,-66.922933,-58.068573,-64.009443,-62.036249,-69.045205,-67.673224,-66.250987,-71.643174,-65.457811,-71.853498,-68.259481,-76.379271,-72.543523,-85.385698,-75.658248,-91.220340,-77.336391,-84.281562,-79.296997,-82.493442,-80.922635,-79.895068,-80.124036,-85.887399,-79.215107,-78.135835,-81.032149,-78.253218,-87.912152,-82.762926,-96.291212,-88.304149,-98.868452,-87.457160,-99.178884,-86.840168,-92.091643,-88.457784,-96.644736,-92.415261,-88.380161,-94.564600,-87.738011,-90.958476,-97.599017,-90.459604,-87.936581,-95.157478,-85.782999,-107.373107,-86.837843,-117.043278,-89.085973,-119.437383,-91.184668,-97.690486,-92.256132,-105.520394,-92.407834,-93.181482,-92.679515,-99.461571,-94.522483,-96.487454,-100.093925,-91.663044,-112.563179,-92.761588,-111.759551,-96.939602,-129.684083,-102.824906,-108.628336
136.00,49.972228,41.834347,24.897778,7.255714,-5.723990,-15.864493,-22.324896,-28.052829,-33.075489,-36.253564,-40.854484,-41.630202,-47.641751,-45.194510,-54.990342,-48.372290,-60.390619,-51.475507,-62.427943,-54.506327,-66.194028,-57.684690,-63.656303,-61.632589,-68.358236,-67.097031,-65.928015,-71.056519,-65.233039,-71.573343,-67.979005,-76.103650,-72.078099,-84.820907,-75.041066,-90.547614,-76.734907,-84.084117,-78.694041,-82.318790,-80.378012,-79.754196,-79.836935,-85.406692,-79.070821,-78.029324,-80.916155,-78.150698,-87.692644,-82.549955,-95.802801,-87.742434,-98.649500,-87.078289,-99.062024,-86.582797,-92.038582,-88.190749,-96.403475,-91.982343,-88.316061,-94.111831,-87.669119,-90.827085,-97.047088,-90.390261,-87.862066,-95.069021,-85.735084,-106.925846,-86.785786,-116.485119,-89.018008,-118.892339,-91.100639,-97.662723,-92.174873,-105.282744,-92.345545,-93.151058,-92.632964,-99.335501,-94.478786,-96.412625,-100.016336,-91.631929,-112.019546,-92.724765,-111.622916,-96.862644,-129.315377,-102.588129,-108.609177
144.00,49.884778,46.620021,32.221406,14.031445,-0.920537,-12.351467,-19.702247,-25.995921,-31.253086,-34.731884,-39.526730,-40.491081,-46.576132,-44.374163,-53.904841,-47.737614,-59.439761,-50.951301,-61.795481,-54.057555,-65.461178,-57.280240,-63.282741,-61.212476,-67.685771,-66.522004,-65.590568,-70.475626,-64.995249,-71.279201,-67.686837,-75.814682,-71.613646,-84.262869,-74.446747,-89.895964,-76.155751,-83.876573,-78.115315,-82.135310,-79.850131,-79.605775,-79.543428,-84.936754,-78.918971,-77.916678,-80.793518,-78.042334,-87.465763,-82.330348,-95.326491,-87.206052,-98.421940,-86.702484,-98.938658,-86.320853,-91.982212,-87.919794,-96.157876,-91.559089,-88.248243,-93.671346,-87.596337,-90.689925,-96.522752,-90.316910,-87.783495,-94.975834,-85.684309,-106.490429,-86.730685,-115.949200,-88.946329,-118.374123,-91.012369,-97.633270,-92.089480,-105.042241,-92.279797,-93.118790,-92.583697,-99.204593,-94.432493,-96.334033,-99.934771,-91.598959,-111.503706,-92.685792,-111.480965,-96.781902,-128.937506,-102.348621,-108.588652
152.00,47.899321,49.421663,38.987893,21.332792,4.631654,-8.351459,-16.793458,-23.744993,-29.312676,-33.132788,-38.119557,-39.304260,-45.452766,-43.511079,-52.798108,-47.067699,-58.469495,-50.398288,-61.130455,-53.584669,-64.722973,-56.855388,-62.888742,-60.776400,-67.024943,-65.947685,-65.239059,-69.899609,-64.744501,-70.971386,-67.383452,-75.512722,-71.150391,-83.710852,-73.872182,-89.262121,-75.596050,-83.659132,-77.557673,-81.943215,-79.337346,-79.449934,-79.244268,-84.477012,-78.759713,-77.797945,-80.664294,-77.928180,-87.232082,-82.104696,-94.861563,-86.692110,-98.186309,-86.330226,-98.808855,-86.055105,-91.922516,-87.645709,-95.908676,-91.145314,-88.176713,-93.242630,-87.519702,-90.547272,-96.022869,-90.239583,-87.700930,-94.877991,-85.630681,-106.066272,-86.672550,-115.433207,-88.870992,-117.879313,-90.919953,-97.602096,-92.000050,-104.799498,-92.210678,-93.084681,-92.531724,-99.069222,-94.383650,-96.251802,-99.849329,-91.564105,-111.012754,-92.644675,-111.333774,-96.697525,-128.555238,-102.107099,-108.567174
